,source,target,in heirarchy,out hierarchy,peak_probability = gsh,kernel_widths_pixels = gsw,in_size,out_size,in_channels,out_channels,out_sigma,kernel_widths_mm,gammas,padding,stride,output_padding,num_neurons_target,FF or FB
0,LGNd,VISp4,0,1,1.0,1.0,32.0,32.0,20,106.0,1.0,0.260344741322399,,1,1,0,108623,FF
1,VISp4,VISp2/3,1,1,0.1618247181204468,2.144193714028358,32.0,32.0,106,169.0,1.0,0.2563948622460867,,2,1,0,173253,FF
2,VISp4,VISl4,1,2,0.008112863817742073,4.819353659022131,32.0,16.0,106,60.0,0.5,0.31316975020983084,39176.42072589002,"(3, 4, 3, 4)",2,0,15501,FF
3,VISp4,VISrl4,1,2,0.011434913204772143,4.719608236641723,32.0,16.0,106,56.0,0.5,0.30668812399570805,13591.511066564051,"(3, 4, 3, 4)",2,0,14360,FF
4,VISp4,VISli4,1,2,0.009169391874361601,4.565597949732778,32.0,16.0,106,21.0,0.5,0.29668027512354106,30078.616416398352,"(3, 4, 3, 4)",2,0,5620,FF
5,VISp4,VISpl4,1,2,0.0017935506441830572,4.472413838777362,32.0,16.0,106,15.0,0.5,0.29062501402088226,81516.46448975014,"(3, 4, 3, 4)",2,0,3912,FF
6,VISp4,VISal4,1,2,0.011835816802853005,4.2644563589256625,32.0,16.0,106,37.0,0.5,0.27711158532749247,13794.413969448395,"(3, 4, 3, 4)",2,0,9705,FF
7,VISp4,VISpor4,1,3,0.009873887156455012,4.260074805671994,32.0,16.0,106,23.0,0.5,0.27682686458793576,13769.716329125695,"(3, 4, 3, 4)",2,0,5952,FF
8,VISp2/3,VISp5,1,1,0.16733836379893013,0.9313524972722113,32.0,32.0,169,131.0,1.0,0.29007247604585246,,0,1,0,134530,FF
9,VISp2/3,VISl4,1,2,0.010576688920856328,4.790987815669841,32.0,16.0,169,60.0,0.5,0.32579418556825085,39176.42072589002,"(3, 4, 3, 4)",2,0,15501,FF
10,VISp2/3,VISrl4,1,2,0.01331253148018088,4.991014857297031,32.0,16.0,169,56.0,0.5,0.3393963172425193,13591.511066564051,"(3, 4, 3, 4)",2,0,14360,FF
11,VISp2/3,VISli4,1,2,0.011196361893698836,4.4600868496150285,32.0,16.0,169,21.0,0.5,0.3032924354308415,30078.616416398352,"(3, 4, 3, 4)",2,0,5620,FF
12,VISp2/3,VISpl4,1,2,0.002288139480327021,4.1798212924992235,32.0,16.0,169,15.0,0.5,0.28423396723254374,81516.46448975014,"(3, 4, 3, 4)",2,0,3912,FF
13,VISp2/3,VISal4,1,2,0.022974367800968527,3.913314345076171,32.0,16.0,169,37.0,0.5,0.266111104636235,13794.413969448395,"(2, 3, 2, 3)",2,0,9705,FF
14,VISp2/3,VISpor4,1,3,0.011133337414984065,4.520726619277338,32.0,16.0,169,23.0,0.5,0.30741602854572325,13769.716329125695,"(3, 4, 3, 4)",2,0,5952,FF
15,VISp2/3,VISp4,1,1,0.2643563129734665,0.4656762486361056,32.0,32.0,169,106.0,1.0,0.27558448514580886,,0,1,0,108623,FB
16,VISp5,VISl4,1,2,0.011506045831343134,4.8420705988506825,32.0,16.0,131,60.0,0.5,0.31153430018000755,39176.42072589002,"(3, 4, 3, 4)",2,0,15501,FF
17,VISp5,VISrl4,1,2,0.014884143539200393,4.840092353361375,32.0,16.0,131,56.0,0.5,0.3114070217127663,13591.511066564051,"(3, 4, 3, 4)",2,0,14360,FF
18,VISp5,VISli4,1,2,0.01233385417467776,4.885242473105721,32.0,16.0,131,21.0,0.5,0.31431193825011233,30078.616416398352,"(3, 4, 3, 4)",2,0,5620,FF
19,VISp5,VISpl4,1,2,0.0025423591897637907,4.324766039269687,32.0,16.0,131,15.0,0.5,0.2782514079422849,81516.46448975014,"(3, 4, 3, 4)",2,0,3912,FF
20,VISp5,VISal4,1,2,0.02322941116073777,3.7152613051309102,32.0,16.0,131,37.0,0.5,0.2390364425819294,13794.413969448395,"(2, 3, 2, 3)",2,0,9705,FF
21,VISp5,VISpor4,1,3,0.013748582512311085,4.635941233550135,32.0,16.0,131,23.0,0.5,0.29827212932675773,13769.716329125695,"(3, 4, 3, 4)",2,0,5952,FF
22,VISp5,VISp2/3,1,1,0.028678760219721974,1.476552362372375,32.0,32.0,131,169.0,1.0,0.256008632495679,,1,1,0,173253,FB
23,VISl4,VISl2/3,2,2,0.1618247181204468,2.3883123007329505,16.0,16.0,60,87.0,1.0,0.19293216245711026,,2,1,0,22299,FF
